thesis_id,degree,pagerank,community_id
2693243150,72,0.00019345458119422802,0
2595588400,63,9.105241154253626e-05,1
2596251986,82,0.00015801676798843443,14
2599155497,67,0.00016928480514104884,32
2521332013,122,0.00017304220656499096,18
2692305273,98,0.00014580086215806856,14
2707790622,221,0.00031366870436009826,16
2720571538,97,0.000124523649972272,18
2596798858,281,0.0002395419811523756,15
2720010165,128,0.00011973206921270391,29
2727113778,128,0.00015004510320649027,18
2720474371,4,3.871089038812749e-05,16
2451028879,21,6.955253218767787e-05,0
2525333370,114,0.00016888996411143563,14
2698793524,33,9.344063806829137e-05,0
2453440080,9,4.215712203993889e-05,14
2598891015,93,0.0001860721138995547,0
2447532028,21,7.961581840009977e-05,0
2734506152,59,8.257356514263082e-05,23
2738217900,57,0.00010238969076508467,14
2737949238,115,0.0001409416213667875,4
2738275878,163,0.0001460651722797023,29
2626729798,12,4.7332046220908726e-05,14
2737629770,80,0.00011092164420219397,1
2707790640,55,9.517566779314941e-05,15
2712810253,29,9.999586191565e-05,2
2728775771,181,0.00022447045919383963,4
2595004887,265,0.00026462174574624285,29
2727253543,259,0.00023478891929064934,18
2726481721,194,0.0001718937173352629,29
2718659722,89,0.00011841726582727221,1
2727253481,7,5.128744646010046e-05,2
2496058640,14,0.00011033555909135305,14
2707285431,31,0.0001424774207646273,2
2597470189,99,0.00013694713102336778,4
2685503399,378,0.0003451888907800083,18
2737859112,108,0.00017150391551755759,10
2737744391,31,7.117761778936479e-05,0
2735618778,77,0.00012173022134773107,14
2737744382,142,0.0002113073779390051,10
2734199194,134,0.00017517516001694567,10
2734362893,148,0.0001915723902807233,1
2736760474,61,0.00013546470737464507,27
2712907526,30,0.00010228821297174473,0
2876463852,34,7.678908111244676e-05,1
2874343359,45,0.00013465835878906013,2
2873797319,93,0.00015682420778771554,10
2873797270,107,0.00017947884147961548,18
2525226579,140,0.0002133095446017432,16
2596882191,245,0.00023009469345808788,18
2449672362,70,0.00013971562092236715,27
2738203069,21,0.0001004663834098861,16
2738203066,170,0.0002563872041064272,14
2873751774,31,8.837831909959458e-05,14
2685852654,234,0.0002421527266770257,29
2873308737,123,0.00021646007372358336,14
2870200787,104,0.00014057149567216592,18
2872420839,160,0.0001908191062105499,1
2870003889,9,4.31240357993178e-05,2
2869610351,274,0.000344880432898676,10
2868406239,276,0.0002839669113764187,1
2869882220,24,5.455330960635531e-05,1
2636463003,73,0.00017052556211610362,16
2872693492,275,0.0004076108299554704,14
2872326901,38,6.602607275133041e-05,4
2738409336,54,0.00010952225356378999,14
2872349955,30,0.00012639154120591196,14
2716434323,42,0.0001096269412820563,1
2733712427,338,0.0002623123645989995,29
2868333228,49,6.316757955760121e-05,4
2876315862,29,8.901590389426838e-05,14
2451028751,163,0.0002870042056439319,16
2612396577,184,0.00017209428633769362,18
2595488041,214,0.0001829157653525874,18
2596859497,234,0.0002654342910768565,4
2692075415,27,7.696422668281529e-05,14
2452825566,155,0.00018545606547215433,10
2712547646,31,0.0001407474487230088,23
2713018312,157,0.00021907655555390766,10
2875713810,28,8.397001170266139e-05,1
2451028951,105,0.00011045306224075326,29
2686501888,112,0.00015608785220194975,4
2692912620,254,0.00035195575073295506,14
2692692535,261,0.0002882299609292563,1
2685589492,49,0.0001286746200096231,2
2691894163,148,0.00019785725168116437,10
2873813922,114,0.0001278913959865276,29
2714065269,123,0.00012211570525037956,29
2707263519,75,0.00019579657312845524,16
2873266369,464,0.0003503321865966202,29
2451028492,220,0.00027865723841812213,10
