thesis_id,rank,neighbor_id,cosine_similarity
2460637080,9,2735483430,0.7858
2460637080,10,2723808909,0.7832
2447742077,1,2735454923,0.766
2447742077,2,2692933687,0.7589
2447742077,3,2692933687,0.7589
2447742077,4,2692933687,0.7589
2447742077,5,2642153318,0.754
2447742077,6,2642153318,0.754
2447742077,7,2451028569,0.7526
2447742077,8,2713409857,0.7517
2447742077,9,2463602593,0.7402
2447742077,10,2463602593,0.7402
2720526425,1,2720215153,0.8882
2720526425,2,2598443211,0.877
2720526425,3,2453540352,0.8191
2720526425,4,2692692535,0.8143
2720526425,5,2692692535,0.8143
2720526425,6,2692692535,0.8143
2720526425,7,2737859069,0.8124
2720526425,8,2738265955,0.8042
2720526425,9,2738265955,0.8042
2720526425,10,2868448874,0.7965
2872809669,1,2738564537,0.7796
2872809669,2,2738564537,0.7796
2872809669,3,2739011944,0.7776
2872809669,4,2727202165,0.7658
2872809669,5,2708239191,0.7638
2872809669,6,2708239191,0.7638
2872809669,7,2712857076,0.7603
2872809669,8,2712857076,0.7603
2872809669,9,2666092580,0.7547
2872809669,10,2709464362,0.7466
2738355894,1,2713227363,0.8897
2738355894,2,2451314126,0.8802
2738355894,3,2718825129,0.8729
2738355894,4,2718825129,0.8729
2738355894,5,2718825129,0.8729
2738355894,6,2692141458,0.8687
2738355894,7,2737992882,0.8657
2738355894,8,2451139202,0.8595
2738355894,9,2451139202,0.8595
2738355894,10,2733712882,0.8542
2737581722,1,2737905493,0.8572
2737581722,2,2731307941,0.8251
2737581722,3,2731307941,0.8251
2737581722,4,2698281452,0.8121
2737581722,5,2692912638,0.7948
2737581722,6,2692912638,0.7948
2737581722,7,2692866732,0.7676
2737581722,8,2720214300,0.766
2737581722,9,2452038023,0.7602
2737581722,10,2452038023,0.7602
2734397209,1,2728423492,0.74
2734397209,2,2714075558,0.7329
2734397209,3,2597319247,0.7042
2734397209,4,2597319247,0.7042
2734397209,5,2723340181,0.6965
2734397209,6,2496058277,0.6885
2734397209,7,2727790410,0.6844
2734397209,8,2727790410,0.6844
2734397209,9,2525156605,0.6801
2734397209,10,2872572384,0.6798
2718659725,1,2692726044,0.7813
2718659725,2,2636770050,0.7113
2718659725,3,2636770050,0.7113
2718659725,4,2636770050,0.7113
2718659725,5,2713252726,0.7061
2718659725,6,2873041225,0.7056
2718659725,7,2872514060,0.6891
2718659725,8,2869953503,0.6841
2718659725,9,2734221801,0.6812
2718659725,10,2734221801,0.6812
2737581719,1,2497547085,0.7713
2737581719,2,2594681526,0.7517
2737581719,3,2721554443,0.7452
2737581719,4,2712624361,0.7391
2737581719,5,2691159537,0.73
2737581719,6,2708007460,0.7252
2737581719,7,2451028659,0.7098
2737581719,8,2525282020,0.6986
2737581719,9,2734350186,0.6972
2737581719,10,2734350186,0.6972
2736919842,1,2723191657,0.818
2736919842,2,2712971918,0.7765
2736919842,3,2727730894,0.7449
2736919842,4,2868333047,0.7419
2736919842,5,2868333047,0.7419
2736919842,6,2452727889,0.7288
2736919842,7,2452727889,0.7288
2736919842,8,2727784017,0.7141
2736919842,9,2727784017,0.7141
2736919842,10,2737702122,0.7115
2731250762,1,2739844948,0.886
2731250762,2,2739844948,0.886
2731250762,3,2739844948,0.886
2731250762,4,2727099433,0.8577
2731250762,5,2869185393,0.8576
2731250762,6,2448324421,0.8357
2731250762,7,2873813957,0.805
2731250762,8,2720326096,0.7702
2731250762,9,2723283133,0.7698
2731250762,10,2452018741,0.7579
2596339142,1,2723372603,0.87
