thesis_id,cluster_id,lof_score,dist_to_centroid
2870042722,112,1.4612,0.4677
2693186873,-1,1.4586,0.6151
2868406315,89,1.4582,0.5166
2690953780,-1,1.4559,0.6
2713437244,-1,1.4558,0.6099
2713437244,-1,1.4558,0.6099
2739276806,14,1.4556,0.6652
2739276806,14,1.4556,0.6652
2596015707,-1,1.4531,0.6256
2739844747,-1,1.453,0.5636
2712907542,-1,1.4527,0.6008
2727838074,66,1.4509,0.5447
2727838074,66,1.4509,0.5447
2874581384,4,1.449,0.5299
2733712206,-1,1.449,0.5384
2733712206,-1,1.449,0.5384
2727838087,55,1.4471,0.336
2869610765,100,1.447,0.4248
2734350252,-1,1.4459,0.7022
2725857788,23,1.4456,0.4829
2872712844,100,1.4418,0.5432
2727253383,116,1.4415,0.417
2727253383,116,1.4415,0.417
2731641230,-1,1.4413,0.7133
2731641230,-1,1.4413,0.7133
2720010243,45,1.4398,0.47
2692725916,23,1.4398,0.4928
2738265966,114,1.4394,0.5376
2870971676,-1,1.4384,0.5231
2685752551,-1,1.4378,0.5507
2709683526,95,1.437,0.5147
2870042507,-1,1.436,0.6121
2872658809,101,1.4358,0.5014
2738544707,4,1.4335,0.4785
2738544707,4,1.4335,0.4785
2693186855,56,1.4326,0.4428
2738564535,-1,1.4308,0.5338
2738564535,-1,1.4308,0.5338
2872572091,23,1.4307,0.5907
2450280103,96,1.4302,0.4861
2450280103,-1,1.4302,0.6614
2688461990,56,1.4301,0.4351
2688461990,56,1.4301,0.4351
2729836727,23,1.4287,0.5022
2872572353,18,1.4287,0.6095
2877417113,55,1.4284,0.328
2877417113,55,1.4284,0.328
2877417113,55,1.4284,0.328
2713518818,4,1.4256,0.4495
2547281208,-1,1.4249,0.5836
2739012569,49,1.4241,0.6716
2714065325,25,1.4235,0.5039
2489514655,33,1.4235,0.4944
2739012116,-1,1.4228,0.6308
2738142738,-1,1.4212,0.6357
2726481129,67,1.4208,0.5785
2495783677,80,1.42,0.4839
2495783677,80,1.42,0.4839
2735225210,49,1.4195,0.4607
2735225210,49,1.4195,0.4607
2869966320,79,1.4166,0.4852
2727253457,55,1.4146,0.3826
2727253457,55,1.4146,0.3826
2869611148,14,1.4139,0.6207
2875886386,8,1.4135,0.3839
2718813870,56,1.4133,0.4487
2872367407,95,1.4127,0.5289
2692373313,23,1.4103,0.4629
2873041393,-1,1.4073,0.681
2873041393,-1,1.4073,0.681
2720125348,26,1.4027,0.5592
2727615859,83,1.402,0.3575
2727615859,83,1.402,0.3575
2508667051,-1,1.401,0.4971
2872572260,31,1.3934,0.5141
2869185267,-1,1.3929,0.7026
2596188742,34,1.3924,0.4228
2596188742,34,1.3924,0.4228
2596188742,34,1.3924,0.4228
2734505330,19,1.3923,0.5324
2738217990,114,1.3908,0.5566
2738217990,114,1.3908,0.5566
2738217990,114,1.3908,0.5566
2478236144,81,1.3905,0.6604
2737992922,4,1.3883,0.6079
2691928333,-1,1.3873,0.6952
2691928333,-1,1.3873,0.6952
2595776857,89,1.3865,0.47
2595776857,89,1.3865,0.47
2595776857,89,1.3865,0.47
2712909357,-1,1.3856,0.6326
2734025145,99,1.3856,0.3965
2712909357,-1,1.3856,0.6326
2712909357,-1,1.3856,0.6326
2873808280,68,1.3846,0.5372
2606020780,6,1.3845,0.5769
2873524644,85,1.3843,0.4215
2873813962,-1,1.3839,0.5216
2692100388,-1,1.3834,0.5359
2872727984,-1,1.3827,0.6521
2712260585,6,1.3796,0.5498
2626729086,4,1.3778,0.4658
2874581827,99,1.3765,0.4139
2451190019,-1,1.3764,0.517
2612047694,-1,1.3754,0.6116
2872712868,8,1.3744,0.495
2856861780,-1,1.3742,0.5513
2594465516,-1,1.3738,0.5964
2594465516,-1,1.3738,0.5964
2607066991,114,1.3737,0.503
2738078914,-1,1.3717,0.4962
2734025164,4,1.3714,0.462
2734506152,4,1.3713,0.5628
2727730362,23,1.3704,0.5262
2727730362,23,1.3704,0.5262
2597481476,-1,1.3702,0.4324
2727406390,4,1.3702,0.5334
2597481476,-1,1.3702,0.4324
2692242701,66,1.3696,0.4771
2738459458,52,1.3683,0.5406
2450280104,14,1.3682,0.556
2727253423,6,1.368,0.446
2733987662,6,1.3677,0.5146
2733987662,6,1.3677,0.5146
2727248758,108,1.3668,0.518
2692100368,56,1.3654,0.4681
2665996715,114,1.3652,0.4314
2665996715,114,1.3652,0.4314
2873041013,24,1.3644,0.4577
2873041013,24,1.3644,0.4577
2727992368,80,1.3641,0.5135
2868333228,88,1.3635,0.522
2720479723,-1,1.3635,0.5627
2596798798,-1,1.3629,0.5505
2717236236,22,1.3618,0.54
2467822454,22,1.3615,0.4245
2708496535,-1,1.361,0.5328
2708496535,-1,1.361,0.5328
2736427028,22,1.3606,0.5242
2713398162,97,1.3603,0.539
2713398162,97,1.3603,0.539
2873797257,112,1.3587,0.4714
2872326901,113,1.358,0.4687
2605495591,-1,1.3578,0.4487
2605495591,-1,1.3578,0.4487
2605495591,-1,1.3578,0.4487
2734545003,1,1.3572,0.3099
2734545003,1,1.3572,0.3099
2738355924,43,1.3551,0.432
2738355924,43,1.3551,0.432
2738355924,43,1.3551,0.432
2690909362,22,1.353,0.4544
2690909362,22,1.353,0.4544
2605495562,-1,1.3529,0.4977
2605495562,-1,1.3529,0.4977
2605495562,-1,1.3529,0.4977
2872350221,22,1.3528,0.4673
2872350221,22,1.3528,0.4673
2452682771,100,1.3525,0.4071
2726481691,56,1.3523,0.4148
2868481995,69,1.3523,0.4643
2868481995,-1,1.3523,0.5826
2727400839,49,1.3521,0.3503
2693055929,4,1.351,0.5201
2693055929,4,1.351,0.5201
2738522533,65,1.3509,0.5312
2738522533,65,1.3509,0.5312
2496058547,56,1.3503,0.4689
