thesis_id,cluster_id,isolation_forest_anomaly,dist_to_centroid
2870028661,-1,0.0123,0.66
2870028661,-1,0.0123,0.66
2873407783,14,0.0118,0.6276
2873407783,14,0.0118,0.6276
2869611243,68,0.0111,0.6241
2727401448,40,0.011,0.4583
2727401448,40,0.011,0.4583
2873041404,42,0.0109,0.5448
2873041404,42,0.0109,0.5448
2737226471,36,0.0107,0.401
2737226471,36,0.0107,0.401
2873029385,-1,0.0105,0.671
2873029385,-1,0.0105,0.671
2690909397,-1,0.0105,0.6901
2690909397,-1,0.0105,0.6901
2869611148,14,0.0103,0.6207
2727448009,53,0.0102,0.4673
2727406341,78,0.0101,0.4742
2874581934,99,0.0099,0.4052
2874581934,99,0.0099,0.4052
2693055951,114,0.0097,0.4575
2451091228,15,0.0096,0.5352
2869966320,79,0.0096,0.4852
2729337099,-1,0.0094,0.6739
2691928333,-1,0.0094,0.6952
2691928333,-1,0.0094,0.6952
2451028901,33,0.0092,0.3513
2735884438,-1,0.0092,0.6545
2874039143,-1,0.0092,0.6923
2873041393,-1,0.0092,0.681
2873041393,-1,0.0092,0.681
2874039143,-1,0.0092,0.6923
2874039143,-1,0.0092,0.6923
2691222090,-1,0.0091,0.646
2873751791,-1,0.009,0.6768
2738184689,114,0.0088,0.4182
2727253560,82,0.0085,0.5174
2727253560,82,0.0085,0.5174
2737744400,10,0.0083,0.5588
2699127253,72,0.0083,0.514
2869185267,-1,0.008,0.7026
2594465551,34,0.0078,0.5502
2497102864,4,0.0078,0.524
2873524708,115,0.0076,0.4118
2596832073,-1,0.0075,0.6694
2727790423,14,0.0075,0.637
2598531355,5,0.0074,0.4954
2598531355,5,0.0074,0.4954
2598531355,5,0.0074,0.4954
2740268494,115,0.0073,0.4415
2740268494,115,0.0073,0.4415
2740268494,115,0.0073,0.4415
2739276806,14,0.007,0.6652
2739276806,14,0.007,0.6652
2738184715,-1,0.007,0.6807
2875083408,-1,0.0069,0.6484
2450820495,67,0.0068,0.3879
2734025126,-1,0.0068,0.6715
2854137646,79,0.0065,0.5494
2738142738,-1,0.0063,0.6357
2606020780,6,0.0062,0.5769
2595719085,111,0.0061,0.4542
2720010519,114,0.0061,0.3552
2727236829,14,0.0061,0.558
2728437625,1,0.006,0.3116
2728437625,1,0.006,0.3116
2873169817,-1,0.0059,0.6544
2727248615,39,0.0057,0.492
2727248615,39,0.0057,0.492
2712260585,6,0.0057,0.5498
2726200774,79,0.0053,0.3723
2597213996,77,0.0052,0.4263
2597213996,77,0.0052,0.4263
2597213996,77,0.0052,0.4263
2873444635,-1,0.0052,0.7528
2708239285,47,0.005,0.609
2873041151,-1,0.005,0.6982
2873041151,-1,0.005,0.6982
2708239285,47,0.005,0.609
2708239285,47,0.005,0.609
2726480757,27,0.0048,0.4108
2726480757,27,0.0048,0.4108
2739012116,-1,0.0047,0.6308
2876597775,18,0.0047,0.6964
2876597775,18,0.0047,0.6964
2720125348,26,0.0047,0.5592
2734350252,-1,0.0045,0.7022
2712810180,-1,0.0045,0.6406
2707366488,68,0.0044,0.4693
2873444574,35,0.0044,0.6214
2451029081,80,0.0044,0.3146
2451029081,80,0.0044,0.3146
2707366488,68,0.0044,0.4693
2707366488,68,0.0044,0.4693
2512680351,12,0.0044,0.4101
2691488484,33,0.0043,0.4892
2733914732,-1,0.0043,0.6021
2733914732,-1,0.0043,0.6021
2734350232,-1,0.0043,0.6441
2870028620,10,0.0041,0.3714
2870028620,10,0.0041,0.3714
2737744407,-1,0.004,0.6894
2739012569,49,0.0038,0.6716
2698674241,106,0.0037,0.4853
2698674241,106,0.0037,0.4853
2698674241,106,0.0037,0.4853
2728467657,14,0.0034,0.5951
2728467657,14,0.0034,0.5951
2728467657,14,0.0034,0.5951
2873704226,51,0.0033,0.4381
2870003894,112,0.0033,0.4475
2727202184,48,0.0033,0.4653
2727202184,48,0.0033,0.4653
2733712513,33,0.0032,0.3967
2739685611,108,0.0032,0.5026
2733712513,33,0.0032,0.3967
2626728617,-1,0.0031,0.6541
